brand,name,category,image_url,raw_ingredients
"비플레인","[8월올영픽/2천만돌파]비플레인 녹두 약산성 클렌징폼 160ml 더블 기획","CLEANSER","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026052209ko.jpg?l=ko","글리세린, 정제수, 소듐코코일글라이시네이트, 소듐라우로일글루타메이트, 1,2-헥산다이올, 하이드록시프로필스타치포스페이트, 부틸렌글라이콜, 녹두가루(9,000ppm), 라우릴베타인, 하이드록시아세토페논, 녹두추출물(3,300ppm), 에틸헥실글리세린, 소듐클로라이드, 에탄올, 베타인, 폴리쿼터늄-39, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 덱스트린, 카카오씨추출물, 아이비고드열매추출물, 알란토인, 황벽나무껍질추출물, 알로에베라꽃추출물, 가지열매추출물, 소듐벤조에이트, 홀리바질잎추출물, 참산호말추출물, 울금뿌리추출물, 캐모마일꽃추출물, 토코페롤, 하이드로제네이티드레시틴, 병풀추출물, 무화과추출물, 세라마이드엔피, 소듐하이알루로네이트, 녹차가루"
"블랑네이처","[8월올영픽/여드름 기능성] 블랑네이처 아크네 클렌징 폼 기획/단품","CLEANSER","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018640946ko.jpg?l=ko","녹차수, 팔미틱애씨드, 스테아릭애씨드, 미리스틱애씨드, 글리세린, 라우릭애씨드, 포타슘하이드록사이드, 정제수, 솔비탄올리베이트, 1,2-헥산다이올, 코카미도프로필베타인, 글리세릴스테아레이트, 부틸렌글라이콜, 살리실릭애씨드, 병풀추출물, 프로폴리스추출물, 포트마리골드꽃추출물, 피이지-100스테아레이트, 소듐클로라이드, 맥아추출물, 알란토인, 판테놀, 시트릭애씨드, 스페인감초뿌리추출물, 에탄올, 녹차추출물, 약모밀추출물, 펜틸렌글라이콜, 카프릴릴글라이콜, 에틸헥실글리세린, 메밀뿌리추출물, 달맞이꽃꽃추출물, 대왕소나무잎추출물, 칡뿌리추출물, 당느릅나무뿌리추출물, 다이소듐이디티에이, 소듐벤조에이트, 클로페네신, 4-터피네올, 티트리잎오일"
"라곰","[유트루PICK/수분민감] 라곰 셀럽 마이크로 폼 클렌저 120mL x 2 단품/기획 택 1","CLEANSER","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023082155ko.jpg?l=ko","정제수, 스테아릭애씨드, 글리세린, 라우릭애씨드, 피이지-32, 포타슘하이드록사이드, 글리세릴스테아레이트, 미리스틱애씨드, 코카미도프로필베타인, 부틸렌글라이콜, 포타슘코코일글리시네이트, 우레아, 피이지-100스테아레이트, 소듐클로라이드, 향료, 하이드록시아세토페논, 하이드록시에틸우레아, 다이소듐이디티에이, 알지닌, 폴리쿼터늄-7, 하이드롤라이즈드식물성단백질, 말토덱스트린, 만주자작나무껍질추출물, 1,2-헥산다이올, 소듐벤조에이트, 비누풀잎추출물, 무환자추출물, 리모넨, 리날룰"
"제로이드","제로이드 포밍 클렌저 240ml 본품 + 240ml 리필 기획","CLEANSER","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023208113ko.jpg?l=ko","정제수, 다이소듐라우릴설포석시네이트, 소듐라우로일메틸이세티오네이트, 다이소듐코코암포다이아세테이트, 코코-글루코사이드, 글리세린, 1,2-헥산다이올, 베타인, 소듐클로라이드, 하이드록시에틸우레아, 시트릭애씨드, 하이드록시아세토페논, 다이소듐이디티에이, 헥실렌글라이콜, 소듐피씨에이, 소듐하이알루로네이트, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이"
"션리","[우주먼지 에디션]션리 다시마 앰플 클렌징폼 120ml 기획(+헤어집게핀+스티커증정)","CLEANSER","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025736902ko.jpg?l=ko","정제수, 글리세린, 다시마즙 (10%), 미리스틱애씨드, 팔미틱애씨드, 스테아릭애씨드, 라우릭애씨드, 포타슘하이드록사이드, 솔비톨, 코카미도프로필베타인, 글리세릴스테아레이트, 다시마가루 (1%), 합성비즈왁스, 솔비탄올리베이트, 1,2-헥산다이올, 소듐폴리아크릴레이트, 소듐클로라이드, 향료, 폴리쿼터늄-7, 살리실릭애씨드, 아라키딕애씨드, 다이소듐이디티에이, 소듐벤조에이트, 석시닉애씨드, 부틸렌글라이콜, 블랙윌로우나무껍질추출물, 소듐하이알루로네이트, 숯추출물, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트"
"이니스프리","[4950만개/1+1] 이니스프리 화산송이 바하 모공 클렌징폼 130g 더블 기획","CLEANSER","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023291362ko.jpg?l=ko","정제수, 글리세린, 미리스틱애씨드, 라우릭애씨드, 포타슘하이드록사이드, 카올린, 스테아릭애씨드, 글리세릴스테아레이트, 라우릴하이드록시설테인, 글라이콜다이스테아레이트, 팔미틱애씨드, 라우릴글루코사이드, 폴리쿼터늄-22, 향료, 살리실릭애씨드(5,000ppm), 실리카, 온천수, 징크피씨에이, 화산재(1,073ppm), 다이소듐이디티에이, 프로판다이올, 락틱애씨드/글라이콜릭애씨드코폴리머, 1,2-헥산다이올, 마데카소사이드, 폴리쿼터늄-10, 에틸헥실글리세린"
"라곰","[수분민감/아침세안] 라곰 셀럽 젤 투 워터 클렌저 170ml x 2","CLEANSER","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023082237ko.jpg?l=ko","정제수, 다이프로필렌글라이콜, 피이지-6카프릴릭/카프릭글리세라이즈, 글리세린, 폴리글리세릴-4카프레이트, 우레아, 폴리글리세릴-6카프릴레이트, 1,2-헥산다이올, 카보머, 트로메타민, 하이드록시아세토페논, 부틸렌글라이콜, 에틸헥실글리세린, 향료, 쇠비름추출물, 다이소듐이디티에이, 비누풀잎추출물, 하이드롤라이즈드식물성단백질, 말토덱스트린, 무환자추출물"
"에스네이처","[8/14 하루특가/여주쌀증정/선크림순싹폼] 에스네이처 아쿠아 라이스 약산성 클렌징폼 160ml기획 (+미니20ml)","CLEANSER","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019049499ko.jpg?l=ko","정제수, 글리세린, 소듐코코일글라이시네이트, 솔비톨, 소듐라우로일글루타메이트, 1,2-헥산다이올, 다이소듐코코암포다이아세테이트, 쌀추출물(4,180ppm), 당호박추출물, 팥추출물, 라우릴베타인, 쌀가루(10ppb),부틸렌글라이콜, 토코페롤, 소듐클로라이드, 하이드록시프로필스타치포스페이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 폴리쿼터늄-22, 헥실렌글라이콜, 에틸헥실글리세린, 하이드록시아세토페논, 시트릭애씨드"
"마녀공장","[쫀쫀버블] 마녀공장 퓨어 소이빈 클렌징폼 160mlx2 더블기획","CLEANSER","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020798258ko.jpg?l=ko","전성분 글리세린, 정제수, 미리스틱애씨드, 스테아릭애씨드, 라우릭애씨드, 포타슘코코에이트, 포타슘하이드록사이드, 포타슘코코일글리시네이트, 팔미틱애씨드, 소듐하이알루로네이트, 부틸렌글라이콜, 라벤더꽃수, 보리지추출물, 수레국화꽃추출물, 클레리추출물, 히아신스전초추출물, 세라마이드엔피, 마트리카리아꽃/잎추출물, 하이드로제네이티드레시틴, 연꽃꽃추출물, 인동덩굴꽃추출물, 알바수련꽃추출물, 세룰라타벚나무꽃추출물, 장미꽃추출물, 1,2-헥산다이올, 코코-글루코사이드, 글리세릴스테아레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 소듐코코일이세티오네이트, 올레익애씨드, 카프릴릭/카프릭트라이글리세라이드, 에틸헥실글리세린, 퀼라자껍질추출물, 잇꽃꽃추출물, 크리산텔룸 인디쿰추출물, 아라키딕애씨드, 소듐파이테이트, 폴리쿼터늄-7, 다마스크장미꽃오일, 센티드제라늄꽃오일, 일랑일랑꽃오일, 시트릭애씨드, 포타슘솔베이트, 소듐벤조에이트, 오렌지껍질오일, 해바라기씨오일, 베르가모트오일"
"센카","[온라인단독/3입] 센카 퍼펙트 휩 페이셜 워시 FA 120g 트리플 기획","CLEANSER","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025310211ko.jpg?l=ko","정제수, 글리세린, 미리스틱애씨드, 팔미틱애씨드, 포타슘하이드록사이드, 피이지-8, 다이프로필렌글라이콜, 글라이콜다이스테아레이트, 솔비톨, 라우릭애씨드, 스테아릭애씨드, 라우릴베타인, 글리세릴스테아레이트에스이, 파라핀, 미리스틸베타인, 폴리쿼터늄-7, 소듐벤조에이트, 향료, 소듐클로라이드, 폴리쿼터늄-6, 세틸베타인, 아이소프로필알코올, 다이소듐이디티에이, 구아하이드록시프로필트라이모늄클로라이드, 소듐메타바이설파이트, 사카라이드아이소머레이트, 흰목이버섯폴리사카라이드, 비에이치티, 부틸렌글라이콜, 소듐아세틸레이티드하이알루로네이트, 소듐시트레이트, 시트릭애씨드, 소듐하이알루로네이트, 리모넨"
